Draft-rankings-export-2025

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
1,"Bijan Robinson","ATL","RB",1,5,4.2,314.47,54
2,"Christian McCaffrey","SF","RB",2,14,5.9,282.45,44
3,"Puka Nacua","LAR","WR",1,8,6.8,289.68,40
4,"Jahmyr Gibbs","DET","RB",3,8,7.8,312.28,51
5,"Jonathan Taylor","IND","RB",4,11,12.7,221.85,33
6,"Justin Jefferson","MIN","WR",2,6,6.7,299.2,49
7,"Ja'Marr Chase","CIN","WR",3,10,5.2,333.25,59
8,"James Cook","BUF","RB",5,7,25.1,218.81,23
9,"Amon-Ra St. Brown","DET","WR",4,8,10.5,265.71,43
10,"De'Von Achane","MIA","RB",6,12,16.8,270.2,36
11,"Jaxon Smith-Njigba","SEA","WR",5,8,22.9,220.42,30
12,"Saquon Barkley","PHI","RB",7,9,7.9,291.45,46
13,"Garrett Wilson","NYJ","WR",6,9,43.1,247.63,27
14,"Josh Jacobs","GB","RB",8,5,21.2,251.32,32
15,"Ashton Jeanty","LV","RB",9,8,16.2,277.76,41
16,"Drake London","ATL","WR",7,5,27.8,258.37,44
17,"CeeDee Lamb","DAL","WR",8,10,14.8,273.77,51
18,"Nico Collins","HOU","WR",9,6,21.1,274.47,45
19,"Derrick Henry","BAL","RB",10,7,27,265.8,37
20,"Josh Allen","BUF","QB",1,7,17,321.45,21
21,"Omarion Hampton","LAC","RB",11,12,63.7,221.39,27
22,"Rashee Rice","KC","WR",10,10,94.3,207.59,14
23,"Kyren Williams","LAR","RB",12,8,33.2,227.46,29
24,"Bucky Irving","TB","RB",13,9,36.5,273.45,37
25,"Trey McBride","ARI","TE",1,8,28.2,240.73,26
26,"Jayden Daniels","WAS","QB",2,12,34,341.5,16
27,"Lamar Jackson","BAL","QB",3,7,38.2,319.79,21
28,"Emeka Egbuka","TB","WR",11,9,48.6,197.96,18
29,"Rome Odunze","CHI","WR",12,5,71.7,196.03,11
30,"Javonte Williams","DAL","RB",14,10,73.4,134.6,5
31,"Jalen Hurts","PHI","QB",4,9,32,316.82,14
32,"Quinshon Judkins","CLE","RB",15,9,114.4,102.87,3
33,"Davante Adams","LAR","WR",13,8,39.2,223.45,23
34,"Brian Thomas Jr.","JAX","WR",14,8,27.2,272.1,45
35,"A.J. Brown","PHI","WR",15,9,26.1,255.81,32
36,"Tyler Warren","IND","TE",2,11,82.6,159.06,8
37,"Tetairoa McMillan","CAR","WR",16,14,72.1,215.83,23
38,"Patrick Mahomes","KC","QB",5,10,53.9,283.47,9
39,"Brock Bowers","LV","TE",3,8,33.4,219.77,30
40,"Kenneth Walker III","SEA","RB",16,8,68.4,221.44,22
41,"Marvin Harrison Jr.","ARI","WR",17,8,70.8,234.06,25
42,"George Kittle","SF","TE",4,14,58.6,221.66,18
43,"Jordan Mason","MIN","RB",17,6,134.1,180.09,9
44,"Deebo Samuel","WAS","WR",18,12,98.8,193.49,11
45,"Jaylen Warren","PIT","RB",18,5,112.5,168.08,8
46,"Cam Skattebo","NYG","RB",19,14,70.8,132.4,4
47,"Zay Flowers","BAL","WR",19,7,84.1,202.83,14
48,"Ladd McConkey","LAC","WR",20,12,46.6,241.37,37
49,"Chuba Hubbard","CAR","RB",20,14,75.3,201.83,19
50,"D.K. Metcalf","PIT","WR",21,5,52.1,204.06,21
51,"Jaylen Waddle","MIA","WR",22,12,80.6,202.46,17
52,"J.K. Dobbins","DEN","RB",21,12,107.7,133.99,7
53,"George Pickens","DAL","WR",23,10,62.1,197,22
54,"Breece Hall","NYJ","RB",22,9,71.3,163.79,22
55,"Chris Olave","NO","WR",24,11,115.2,204.98,10
56,"Travis Etienne Jr.","JAX","RB",23,8,112,112.51,7
57,"Courtland Sutton","DEN","WR",25,12,76.1,199.52,22
58,"Quentin Johnston","LAC","WR",26,12,132.2,136.12,1
59,"Terry McLaurin","WAS","WR",27,12,65.5,232.47,19
60,"Chase Brown","CIN","RB",24,10,42.9,249.99,40
61,"Tee Higgins","CIN","WR",28,10,44.2,252.8,28
62,"Baker Mayfield","TB","QB",6,9,53.8,278.81,5
63,"Mike Evans","TB","WR",29,9,87.4,221.59,22
64,"Michael Pittman Jr.","IND","WR",30,11,106.5,177.89,7
65,"Tucker Kraft","GB","TE",5,5,120.2,158.37,4
66,"Jake Ferguson","DAL","TE",6,10,81,144.6,3
67,"DJ Moore","CHI","WR",31,5,89.4,204.97,20
68,"DeVonta Smith","PHI","WR",32,9,94,204.4,17
69,"TreVeyon Henderson","NE","RB",25,14,76.1,167.74,23
70,"D'Andre Swift","CHI","RB",26,5,86.7,202.91,13
71,"Jacory Croskey-Merritt","WAS","RB",27,12,104.7,147.62,8
72,"Alvin Kamara","NO","RB",28,11,62.1,215.85,18
73,"Ricky Pearsall","SF","WR",33,14,122.4,194.59,17
74,"Tony Pollard","TEN","RB",29,10,107.5,167.07,15
75,"Jordan Addison","MIN","WR",34,6,124.1,180.04,8
76,"Xavier Worthy","KC","WR",35,10,71.6,205.29,20
77,"Caleb Williams","CHI","QB",7,5,132.4,253.33,3
78,"Travis Hunter","JAX","WR",36,8,91.6,222.74,12
79,"Jakobi Meyers","LV","WR",37,8,119.4,192.57,10
80,"David Montgomery","DET","RB",30,8,84,162.38,9
81,"Justin Fields","NYJ","QB",8,9,135.4,273.22,4
82,"Sam LaPorta","DET","TE",7,8,55.5,178.83,9
83,"Woody Marks","HOU","RB",31,6,165.6,54.17,2
84,"Chris Godwin","TB","WR",38,9,140,146.96,6
85,"RJ Harvey","DEN","RB",32,12,117.5,204.47,17
86,"Jameson Williams","DET","WR",39,8,102.2,205.66,19
87,"Brock Purdy","SF","QB",9,14,126,273.1,3
88,"Dalton Kincaid","BUF","TE",8,7,130,148.25,3
89,"Justin Herbert","LAC","QB",10,12,109.4,249.9,2
90,"Wan'Dale Robinson","NYG","WR",40,14,151.5,150.09,2
91,"Keenan Allen","LAC","WR",41,12,125.6,139.95,3
92,"Stefon Diggs","NE","WR",42,14,98.9,181.86,10
93,"Jordan Love","GB","QB",11,5,137.9,244.4,2
94,"Jared Goff","DET","QB",12,8,142.5,250.99,3
95,"T.J. Hockenson","MIN","TE",9,6,84.6,186.84,8
96,"Rachaad White","TB","RB",33,9,139.9,100.22,3
97,"Jauan Jennings","SF","WR",43,14,138.5,182.25,6
98,"Drake Maye","NE","QB",13,14,111.9,239.53,3
99,"Zach Charbonnet","SEA","RB",34,8,149.8,147.59,10
100,"Darren Waller","MIA","TE",10,12,147.2,106.17,1
101,"Keon Coleman","BUF","WR",44,7,133.9,169.86,6
102,"Matthew Golden","GB","WR",45,5,117.5,188.23,11
103,"Dallas Goedert","PHI","TE",11,9,113.9,144.3,2
104,"Michael Carter","ARI","RB",35,8,167,0,"N/A"
105,"Hunter Henry","NE","TE",12,14,147.8,131.58,2
106,"Rico Dowdle","CAR","RB",36,14,141,98.3,2
107,"Khalil Shakir","BUF","WR",46,7,133.3,174.2,6
108,"Bo Nix","DEN","QB",14,12,102,259.03,5
109,"Rhamondre Stevenson","NE","RB",37,14,132.3,126.82,3
110,"Isiah Pacheco","KC","RB",38,10,109.8,164.92,14
111,"Nick Chubb","HOU","RB",39,6,146.6,112.26,3
112,"Trey Benson","ARI","RB",40,8,163.7,100.77,5
113,"Kyle Pitts","ATL","TE",13,5,152.2,134.53,2
114,"Calvin Ridley","TEN","WR",47,10,102.5,196.35,21
115,"Harold Fannin Jr.","CLE","TE",14,9,169.1,95.37,1
116,"Cooper Kupp","SEA","WR",48,8,128.1,167.71,7
117,"Jaxson Dart","NYG","QB",15,14,142.4,51.88,1
118,"Troy Franklin","DEN","WR",49,12,169.6,101.94,1
119,"Jerry Jeudy","CLE","WR",50,9,107.6,180.27,12
120,"Kendre Miller","NO","RB",41,11,168.6,66.24,1
121,"Travis Kelce","KC","TE",15,10,82.2,154.53,7
122,"Daniel Jones","IND","QB",16,11,154.3,235.37,1
123,"Elic Ayomanor","TEN","WR",51,10,169.4,90.49,1
124,"Mark Andrews","BAL","TE",16,7,113.1,151.39,5
125,"Darius Slayton","NYG","WR",52,14,169.1,91.18,1
126,"Bhayshul Tuten","JAX","RB",42,8,154.7,105.5,3
127,"Darnell Mooney","ATL","WR",53,5,149.2,175.17,3
128,"Josh Downs","IND","WR",54,11,143.7,192.65,5
129,"Tre Tucker","LV","WR",55,8,167.9,116.25,"N/A"
130,"Aaron Jones","MIN","RB",43,6,117,165.27,8
131,"Brenton Strange","JAX","TE",17,8,169.1,137.42,2
132,"Romeo Doubs","GB","WR",56,5,159.2,141.44,2
133,"Kyler Murray","ARI","QB",17,8,123.7,257.67,3
134,"Alec Pierce","IND","WR",57,11,169.6,122.65,1
135,"Kenneth Gainwell","PIT","RB",44,5,166.1,95.24,"N/A"
136,"Kareem Hunt","KC","RB",45,10,167.2,80.5,1
137,"Luther Burden III","CHI","WR",58,5,168.7,120.54,3
138,"Tyler Allgeier","ATL","RB",46,5,165.5,100.61,3
139,"Tyjae Spears","TEN","RB",47,10,169.4,97.32,3
140,"Blake Corum","LAR","RB",48,8,169.3,78.06,1
141,"Marquise Brown","KC","WR",59,10,161,143.33,3
142,"Rashid Shaheed","NO","WR",60,11,145.3,149.72,2
143,"Joe Flacco","CIN","QB",18,10,169.2,200.7,"N/A"
144,"Brandon Aiyuk","SF","WR",61,14,166.6,152.59,3
145,"Hassan Haskins","LAC","RB",49,12,169.2,53.32,"N/A"
146,"Christian Kirk","HOU","WR",62,6,168.7,146.23,4
147,"Calvin Austin III","PIT","WR",63,5,169.7,130.6,1
148,"David Njoku","CLE","TE",18,9,108.9,152.1,5
149,"Brashard Smith","KC","RB",50,10,169.8,72.4,2
150,"Kyle Monangai","CHI","RB",51,5,169.8,101.69,1
151,"Isaiah Davis","NYJ","RB",52,9,169.9,99.64,"N/A"
152,"Isaiah Bond","CLE","WR",64,9,169.8,86.79,1
153,"Keaton Mitchell","BAL","RB",53,7,169.9,101.93,1
154,"Jalen Coker","CAR","WR",65,14,169.2,99.77,1
155,"Mason Taylor","NYJ","TE",19,9,167.1,126.86,1
156,"Kimani Vidal","LAC","RB",54,12,168.8,0,1
157,"Tahj Brooks","CIN","RB",55,10,170,94.86,2
158,"Matthew Stafford","LAR","QB",19,8,137,227.7,1
159,"Kayshon Boutte","NE","WR",66,14,168.8,57.76,"N/A"
160,"Tyrone Tracy","NYG","RB",56,14,125.9,164.72,8
161,"Brian Robinson","SF","RB",57,14,null,93.99,2
162,"Colston Loveland","CHI","TE",20,5,159.1,148.24,3
163,"Ollie Gordon II","MIA","RB",58,12,169,64.94,4
164,"Dak Prescott","DAL","QB",20,10,101.6,241.56,7
165,"Sean Tucker","TB","RB",59,9,169.6,35.45,2
166,"Jaydon Blue","DAL","RB",60,10,165.1,98.88,4
167,"DJ Giddens","IND","RB",61,11,169.6,89.46,1
168,"Rashod Bateman","BAL","WR",67,7,167.4,138.16,2
169,"Miles Sanders","DAL","RB",62,10,169.3,89.8,1
170,"Dylan Sampson","CLE","RB",63,9,168,113.08,3
171,"Tory Horton","SEA","WR",68,8,169.4,127.92,1
172,"Raheem Mostert","LV","RB",64,8,169.8,37.11,1
173,"Dontayvion Wicks","GB","WR",69,5,169.7,70.35,1
174,"Dyami Brown","JAX","WR",70,8,169.7,99.21,1
175,"Marvin Mims Jr.","DEN","WR",71,12,166.9,176.51,4
176,"Zavier Scott","MIN","RB",65,6,169.7,4.78,"N/A"
177,"DeAndre Hopkins","BAL","WR",72,7,167.5,115.26,1
178,"Nick Westbrook-Ikhine","MIA","WR",73,12,169.7,75.52,1
179,"Chris Rodriguez Jr.","WAS","RB",66,12,169.9,96.85,2
180,"Allen Lazard","NYJ","WR",74,9,170,66.48,"N/A"
181,"Will Shipley","PHI","RB",67,9,168.6,68.11,2
182,"Pat Bryant","DEN","WR",75,12,169.9,97.05,1
183,"Malik Washington","MIA","WR",76,12,169.7,91.27,1
184,"Emanuel Wilson","GB","RB",68,5,169.6,38.16,1
185,"Jayden Higgins","HOU","WR",77,6,166.2,133.92,4
186,"Kendrick Bourne","SF","WR",78,14,168.1,0,"N/A"
187,"Xavier Legette","CAR","WR",79,14,150.2,149.7,2
188,"Ty Johnson","BUF","RB",69,7,169.7,52.53,1
189,"Tyquan Thornton","KC","WR",80,10,169.2,22.72,"N/A"
190,"Isaac TeSlaa","DET","WR",81,8,168.8,127.58,1
191,"Olamide Zaccheaus","CHI","WR",82,5,169.7,51.48,1
192,"Jayden Reed","GB","WR",83,5,146.5,151.76,5
193,"Denver Broncos DST","DEN","DST",1,12,90.9,107.84,"N/A"
194,"Buffalo Bills DST","BUF","DST",2,7,153,119.29,"N/A"
195,"Pittsburgh Steelers DST","PIT","DST",3,5,88.3,111.54,"N/A"
