"RankRk.","PositionPos.","Name","Team"
"1","RB","Bijan Robinson","Falcons"
"2","RB","Christian McCaffrey","49ers"
"3","RB","Jahmyr Gibbs","Lions"
"4","WR","Ja'Marr Chase","Bengals"
"5","WR","Puka Nacua","Rams"
"6","RB","De'Von Achane","Dolphins"
"7","RB","Saquon Barkley","Eagles"
"8","WR","Justin Jefferson","Vikings"
"9","RB","Jonathan Taylor","Colts"
"10","RB","Bucky Irving","Buccaneers"
"11","WR","Amon-Ra St. Brown","Lions"
"12","WR","Malik Nabers","Giants"
"13","WR","Nico Collins","Texans"
"14","WR","Jaxon Smith-Njigba","Seahawks"
"15","RB","James Cook III","Bills"
"16","TE","Trey McBride","Cardinals"
"17","RB","Derrick Henry","Ravens"
"18","WR","Garrett Wilson","Jets"
"19","WR","Drake London","Falcons"
"20","WR","CeeDee Lamb","Cowboys"
"21","RB","Josh Jacobs","Packers"
"22","WR","A.J. Brown","Eagles"
"23","QB","Lamar Jackson","Ravens"
"24","RB","Ashton Jeanty","Raiders"
"25","WR","Brian Thomas Jr.","Jaguars"
"26","QB","Josh Allen","Bills"
"27","QB","Jayden Daniels","Commanders"
"28","WR","Rashee Rice","Chiefs"
"29","RB","Kyren Williams","Rams"
"30","QB","Jalen Hurts","Eagles"
"31","TE","Brock Bowers","Raiders"
"32","RB","Omarion Hampton","Chargers"
"33","RB","Chuba Hubbard","Panthers"
"34","WR","Davante Adams","Rams"
"35","WR","Tetairoa McMillan","Panthers"
"36","RB","Kenneth Walker III","Seahawks"
"37","WR","Emeka Egbuka","Buccaneers"
"38","TE","George Kittle","49ers"
"39","WR","Zay Flowers","Ravens"
"40","WR","Marvin Harrison Jr.","Cardinals"
"41","WR","Ladd McConkey","Chargers"
"42","RB","Javonte Williams","Cowboys"
"43","WR","Rome Odunze","Bears"
"44","RB","Jordan Mason","Vikings"
"45","RB","Jaylen Warren","Steelers"
"46","WR","Tyreek Hill","Dolphins"
"47","RB","Chase Brown","Bengals"
"48","WR","Tee Higgins","Bengals"
"49","WR","Deebo Samuel","Commanders"
"50","WR","Chris Olave","Saints"
"51","TE","Tyler Warren","Colts"
"52","WR","Terry McLaurin","Commanders"
"53","RB","Travis Etienne Jr.","Jaguars"
"54","WR","Ricky Pearsall","49ers"
"55","RB","Quinshon Judkins","Browns"
"56","WR","D.J. Moore","Bears"
"57","QB","Patrick Mahomes","Chiefs"
"58","WR","Jameson Williams","Lions"
"59","WR","Mike Evans","Buccaneers"
"60","RB","J.K. Dobbins","Broncos"
"61","WR","Travis Hunter","Jaguars"
