"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Ryan Flournoy","DAL","5","WR","16","13","2","179","1","0","0","0","81.3","7.63","11.19","13.77","5.85","2","1","0","12.5","7.7","0","1","0","6.3","0","0","4","0","25","0","0","0","6.25","1.75","0","0","0","0","0","0","0","0","0","0","0","0","0","33.4","0.27","1.96"
"Tetairoa McMillan","CAR","6","WR","47","27","1","380","1","2","0","3","57.4","12.28","8.09","14.07","4.11","17","9","2","36.2","33.3","100","5","2","10.6","7.4","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","77","0.21","2.85"
"Luther Burden III","CHI","4","WR","8","7","1","99","1","1","1","1","87.5","7","12.38","14.14","7","4","3","1","50","42.9","100","0","0","0","0","0","1","0","7","0","0","0","7","6","1","1","0","0","0","0","0","0","0","0","0","0","0","23.6","0.36","2.95"
"Jayden Higgins","HST","5","WR","10","9","0","121","0","1","0","0","90","11.4","12.1","13.44","3.78","3","3","1","30","33.3","100","1","1","10","11.1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.1","0.19","3.01"
"Jack Bech","LV","6","WR","7","5","0","60","0","0","0","0","71.4","13","8.57","12","3.2","1","0","0","14.3","0","0","1","0","14.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0.1","2.2"
"Brian Thomas Jr.","JAX","6","WR","47","24","1","334","0","1","0","4","51.1","12.43","7.11","13.92","3.71","11","3","1","23.4","12.5","100","3","0","6.4","0","0","2","0","16","0","1","0","8","1","0","0","0","1","1","50","100","0","0","0","0","0","0","71","0.2","2.73"
"Marvin Harrison Jr.","ARZ","6","WR","33","22","2","338","0","2","0","3","66.7","12.64","10.24","15.36","3.18","8","7","2","24.2","31.8","100","3","2","9.1","9.1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67.8","0.23","3.08"
"Emeka Egbuka","TB","6","WR","42","27","2","469","2","5","1","3","64.3","13.83","11.17","17.37","5.59","11","6","4","26.2","22.2","80","3","2","7.1","7.4","40","2","0","9","0","0","0","4.5","0.5","0","0","0","0","0","0","0","0","0","0","0","1","1","104.8","0.33","3.61"
"Tai Felton","MIN","1","WR","1","1","0","9","0","0","0","0","100","7","9","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9","0.16","1.9"
"Xavier Worthy","KC","4","WR","22","13","0","145","0","1","0","0","59.1","14.09","6.59","11.15","4.62","8","1","1","36.4","7.7","100","4","0","18.2","0","0","5","0","53","0","0","0","10.6","0.8","0","0","0","0","0","0","0","0","0","0","0","0","0","38.8","0.27","2.16"
