"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Isaac TeSlaa","DET","3","WR","4","2","0","42","0","1","0","0","50","18.75","10.5","21","1","3","2","1","75","100","100","1","1","25","50","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.2","0.36","6.1"
"Ryan Flournoy","DAL","2","WR","2","2","0","21","0","0","0","0","100","10","10.5","10.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.1","0.12","2.05"
"Tetairoa McMillan","CAR","3","WR","27","14","1","216","1","0","0","2","51.9","11.26","8","15.43","5.36","9","3","0","33.3","21.4","0","3","0","11.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","35.6","0.2","2.54"
"Luther Burden III","CHI","3","WR","6","5","1","103","1","1","1","1","83.3","10.83","17.17","20.6","8.8","4","3","1","66.7","60","100","0","0","0","0","0","1","0","7","0","0","0","7","6","1","1","0","0","0","0","0","0","0","0","0","0","0","22","0.47","3.67"
"Matthew Golden","GB","3","WR","8","6","0","68","0","0","0","0","75","15.63","8.5","11.33","4.17","1","0","0","12.5","0","0","1","0","12.5","0","0","5","0","24","0","0","0","4.8","6.2","1","0.2","0","1","0","20","0","0","0","0","0","0","0","15.2","0.14","1.38"
"Dominic Lovett","DET","2","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Brian Thomas Jr.","JAX","3","WR","24","7","1","115","0","0","0","3","29.2","13.29","4.79","16.43","5","5","0","0","20.8","0","0","2","0","8.3","0","0","1","0","9","0","1","0","9","0","0","0","0","1","1","100","100","0","0","0","0","0","0","25.4","0.14","3.17"
"Adonai Mitchell","IND","3","WR","7","4","0","41","0","0","0","0","57.1","18.57","5.86","10.25","0.25","2","0","0","28.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.1","0.18","2.02"
"Devontez Walker","BLT","2","WR","3","3","0","60","0","2","0","0","100","25","20","20","0.67","3","3","2","100","100","100","2","2","66.7","66.7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","1.05","7"
"Keon Coleman","BUF","3","WR","19","14","0","158","1","1","0","2","73.7","10.11","8.32","11.29","2.36","3","2","1","15.8","14.3","100","2","1","10.5","7.1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","35.8","0.23","2.56"
"Tai Felton","MIN","1","WR","1","1","0","9","0","0","0","0","100","7","9","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9","0.16","1.9"
"KeAndre Lambert-Smith","LAC","2","WR","1","0","0","0","0","0","0","0","0","30","0","0","0","1","0","0","100","0","0","1","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jaxon Smith-Njigba","SEA","3","WR","28","22","3","323","2","1","0","0","78.6","12.21","11.54","14.68","3.59","3","2","1","10.7","9.1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","60.3","0.55","2.74"
"Roman Wilson","PIT","3","WR","2","1","0","7","0","0","0","0","50","14","3.5","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7","0.04","1.7"
"Kyle Williams","NE","3","WR","2","2","0","20","0","0","0","0","100","9.5","10","10","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0.15","2"
"Kayshon Boutte","NE","3","WR","12","9","0","147","1","1","0","0","75","16.25","12.25","16.33","0.56","4","2","1","33.3","22.2","100","3","1","25","11.1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.7","0.19","3.3"
"Arian Smith","NYJ","3","WR","4","3","0","10","0","0","0","0","75","6","2.5","3.33","1.33","0","0","0","0","0","0","0","0","0","0","0","1","0","-10","0","0","0","-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0.04","0.75"
"Mitchell Tinsley","CIN","3","WR","2","1","0","13","0","1","0","0","50","9.5","6.5","13","0","1","1","1","50","100","100","1","1","50","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.3","0.38","8.3"
"Quentin Johnston","LAC","3","WR","22","14","1","239","0","3","1","0","63.6","14.18","10.86","17.07","7.14","9","6","3","40.9","42.9","100","3","1","13.6","7.1","33.3","1","0","-2","0","0","0","-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55.7","0.32","3.71"
"Xavier Hutchinson","HST","3","WR","8","7","0","75","0","0","0","0","87.5","8.38","9.38","10.71","3","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","0","0","5","3","1","1","0","0","0","0","0","0","0","0","0","0","0","15","0.14","1.88"
"Dareke Young","SEA","2","WR","1","1","0","12","0","0","0","0","100","12","12","12","0","1","1","0","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2","0.09","2.2"
"Mason Tipton","NO","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Casey Washington","ATL","1","WR","6","3","0","33","0","0","0","1","50","15.33","5.5","11","1.33","1","0","0","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.3","0.09","2.1"
"Jameson Williams","DET","3","WR","12","8","2","174","1","1","1","0","66.7","17.83","14.5","21.75","7.63","4","2","1","33.3","25","100","0","0","0","0","0","1","0","3","0","0","0","3","8","1","1","0","0","0","0","0","0","0","0","0","0","0","31.7","0.18","3.52"
"Luke McCaffrey","WAS","3","WR","4","4","1","75","0","1","1","0","100","7.75","18.75","18.75","11","1","1","0","25","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","17.5","0.42","4.38"
"Tre Tucker","LV","3","WR","20","13","1","211","1","4","1","1","65","13.5","10.55","16.23","3.77","7","5","4","35","38.5","100","3","2","15","15.4","50","2","0","11","0","0","0","5.5","3.5","1","0.5","0","0","0","0","0","0","0","0","0","0","0","59.2","0.32","3.95"
"George Pickens","DAL","3","WR","21","13","0","166","0","2","0","1","61.9","11.62","7.9","12.77","3.85","9","3","2","42.9","23.1","100","7","2","33.3","15.4","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.6","0.21","3.2"
"John Metchie III","PHI","3","WR","2","2","0","8","0","0","0","0","100","0","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.8","0.28","1.4"
"Jamari Thrash","CLV","3","WR","5","4","0","18","0","0","0","0","80","7.4","3.6","4.5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.8","0.11","1.45"
"Skyy Moore","SF","3","WR","1","1","0","10","0","0","0","0","100","10","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0.05","2"
"Malik Washington","MIA","3","WR","11","6","0","34","0","0","0","0","54.5","5.09","3.09","5.67","7.83","2","1","0","18.2","16.7","0","0","0","0","0","0","6","0","52","0","0","0","8.67","6.67","3","0.5","0","0","0","0","0","0","0","0","0","0","0","14.6","0.15","1.22"
"Amon-Ra St. Brown","DET","3","WR","24","20","0","237","1","4","0","0","83.3","9.25","9.88","11.85","3.25","11","9","4","45.8","45","100","3","3","12.5","15","75","2","0","7","0","0","0","3.5","4.5","0","0","0","1","0","50","0","0","0","0","0","0","0","68.4","0.4","3.11"
"Cedric Tillman","CLV","3","WR","18","10","0","100","0","2","0","1","55.6","9.22","5.56","10","1.4","3","2","2","16.7","20","100","2","2","11.1","20","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","0.17","3.2"
"Michael Wilson","ARZ","3","WR","8","3","0","21","0","1","0","1","37.5","15.88","2.63","7","1","3","1","1","37.5","33.3","100","1","1","12.5","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.1","0.08","3.7"
"Justin Shorter","LV","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
