"Offense","4","5","6","7","8","9","10","11","12","13","14","15","16","17","Season #G","Season SOS","Playoffs #G","Playoffs SOS","All #G","All SOS"
"ARZ","8.775670641934692","5.877154676060684","6.564960977970361","3.1283867418440514","","6.53718965332411","8.775670641934692","4.056266370743763","4.3642063159086915","5.303930546812923","8.299349729975024","1.2707615645474646","4.496443427587894","6.4694626604042496","10","6.508875299283677","3","3.901788540187528","13","4.875506395518229"
"ATL","9.479964153894766","","5.156266459642433","4.056266370743763","8.815172481379786","4.529758957197943","6.564960977970361","7.675842639206393","8.343910176544608","3.7786449341473634","8.775670641934692","5.303930546812923","6.066049506459196","8.299349729975024","10","10","3","7.557235552712573","13","10"
"BLT","1.7887141640833049","1.2707615645474646","8.299349729975024","","10","8.474131779986052","3.1931171498883995","4.147525884082242","3.7786449341473634","6.4694626604042496","4.446287784665128","6.4694626604042496","5.224896163798234","3.1283867418440514","10","3.4599134709600685","3","5.1736438481303395","13","3.063258453105358"
"BUF","8.343910176544608","5.224896163798234","4.496443427587894","","7.806139508652155","0.5933537081909124","8.668033248641871","5.303930546812923","1.2707615645474646","4.446287784665128","6.4694626604042496","5.224896163798234","4.147525884082242","0","10","4.200831599238981","3","2.493127974892527","13","2.2438564840063737"
"CAR","5.224896163798234","8.668033248641871","6.977230282711412","3.7786449341473634","5.243793707046902","2.1280495326512234","8.343910176544608","4.496443427587894","4.056266370743763","8.299349729975024","","8.343910176544608","5.303930546812923","8.775670641934692","10","6.035729755255378","3","8.911765687271487","13","7.125788315765446"
"CHI","10","","9.479964153894766","8.343910176544608","2.242685322614351","5.955503603548063","3.032354917557345","3.1931171498883995","4.446287784665128","0","3.1283867418440514","4.147525884082242","3.1283867418440514","4.056266370743763","10","2.8004102795018975","3","3.4569532581825313","13","2.470310696658755"
"CIN","5.783022142208102","4.494711832983817","3.1283867418440514","4.446287784665128","3.842787156546726","9.808785282350485","","4.446287784665128","5.224896163798234","2.2052513417887813","5.156266459642433","2.2052513417887813","8.668033248641871","6.066049506459196","10","2.241126445203001","3","6.214600249182228","13","4.381263976027045"
"CLV","4.494711832983817","3.1931171498883995","4.446287784665128","8.668033248641871","5.313588395429556","","3.7786449341473634","2.2052513417887813","10","4.056266370743763","5.877154676060684","9.833084113726967","5.156266459642433","4.446287784665128","10","3.480316189237068","3","7.442304104582179","13","5.334002920936804"
"DAL","3.1283867418440514","3.7786449341473634","7.675842639206393","9.479964153894766","5.88118852165112","5.493363455895951","","10","0","1.7887141640833049","4.494711832983817","3.1931171498883995","1.5905059881704227","9.479964153894766","10","3.584007729739946","3","4.898645011022274","13","1.9528236945808213"
"DEN","6.4694626604042496","0","3.7786449341473634","3.032354917557345","7.09566825831502","0","10","1.7887141640833049","","9.479964153894766","10","3.1283867418440514","4.3642063159086915","1.7887141640833049","10","1.665725324032838","3","2.4483169216247074","13","1.2336251630021802"
"DET","4.147525884082242","6.4694626604042496","1.7887141640833049","5.303930546812923","","2.2022030897146374","9.479964153894766","0","3.032354917557345","3.1283867418440514","6.977230282711412","8.299349729975024","4.446287784665128","3.1931171498883995","10","0","3","5.722506698782817","13","1.7107737895860688"
"GB","6.977230282711412","","6.4694626604042496","6.066049506459196","4.521763195799494","7.337502718044244","0","3.032354917557345","3.1931171498883995","4.494711832983817","9.833084113726967","5.783022142208102","9.833084113726967","2.2052513417887813","10","3.581034958373122","3","6.648386975176405","13","3.0388543419056164"
"HST","5.877154676060684","2.2052513417887813","","8.775670641934692","4.125121196798492","5.169134296223076","4.3642063159086915","5.877154676060684","5.156266459642433","6.564960977970361","1.7887141640833049","6.066049506459196","10","1.5905059881704227","10","2.4802818381901153","3","6.567335886775014","13","3.7357083306895893"
"IND","8.299349729975024","10","6.066049506459196","1.5905059881704227","5.976918948406214","3.6378044242905827","4.496443427587894","","1.7887141640833049","1.2707615645474646","4.3642063159086915","8.775670641934692","4.056266370743763","4.3642063159086915","10","1.9330818290758502","3","6.340901232906261","13","3.329257680207365"
"JAX","4.056266370743763","1.7887141640833049","8.775670641934692","8.299349729975024","","10","1.2707615645474646","1.5905059881704227","6.066049506459196","5.877154676060684","6.564960977970361","3.7786449341473634","5.783022142208102","6.564960977970361","10","4.4492025191006395","3","5.81490444395007","13","4.286978809571413"
"KC","2.2052513417887813","4.3642063159086915","4.494711832983817","10","9.64088585458224","4.451138462794822","","5.783022142208102","6.564960977970361","6.977230282711412","1.2707615645474646","1.5905059881704227","5.877154676060684","5.783022142208102","10","5.27838801897759","3","4.400489893725924","13","4.257406786882585"
"LA","6.564960977970361","4.056266370743763","2.2052513417887813","4.3642063159086915","","8.102824392183601","4.056266370743763","8.775670641934692","5.303930546812923","7.675842639206393","6.066049506459196","4.494711832983817","8.775670641934692","4.496443427587894","10","6.512975777881738","3","6.621567819554224","13","5.701326212976992"
"LAC","3.032354917557345","9.479964153894766","8.668033248641871","6.564960977970361","3.247320080818605","5.276970202583792","4.446287784665128","4.3642063159086915","","10","0","1.7887141640833049","6.977230282711412","1.2707615645474646","10","5.001449398499554","3","2.8198285280728226","13","3.1867357118154476"
