"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Bijan Robinson","ATL","rb","5","10","207.1","0","0","0","0","0","0","153.5069","680.1397","5.1475","70.6875","56.575","413.8878","2.0076","2.686","1.2499","0.327","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Christian McCaffrey","SF","rb","14","9","191.7","0","0","0","0","0","0","159.3568","689.2838","4.8087","57.9885","46.4444","367.0414","2.0858","2.6559","1.2245","0.336","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Puka Nacua","LA","wr","8","10","208.3","0","0","0","0","0","0","6.1694","35.5319","0.3216","110.1807","81.8214","942.9692","4.5242","0.9654","0.5235","0.312","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Trey McBride","ARZ","te","8","10","170.9","0","0","0","0","0","0","0","0","0","96.3685","73.3795","687.8046","4.7128","0","0","0.2426","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Jahmyr Gibbs","DET","rb","8","10","183.5","0","0","0","0","0","0","136.0394","642.3189","6.3986","50.8016","41.9779","296.362","1.7786","2.2866","1.0569","0.3513","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","De'Von Achane","MIA","rb","12","9","183.2","0","0","0","0","0","0","124.0226","564.0372","4.058","61.0114","50.0493","367.2396","2.8523","2.2143","1.0348","0.328","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Jaxon Smith-Njigba","SEA","wr","8","10","203.4","0","0","0","0","0","0","3.1593","17.2942","0.1114","111.9406","80.1623","906.0809","5.0846","0.9069","0.4957","0.3386","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Jonathan Taylor","IND","rb","11","9","177.6","0","0","0","0","0","0","169.1301","780.1871","7.7698","35.5508","29.5054","192.0941","0.9891","2.6055","1.1818","0.323","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Ja'Marr Chase","CIN","wr","10","9","193.9","0","0","0","0","0","0","1.3205","7.7563","0.0414","106.2989","75.2146","841.838","5.6436","0.8286","0.4553","0.2576","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Josh Jacobs","GB","rb","5","10","166.3","0","0","0","0","0","0","172.6217","749.1563","7.8347","30.1693","25.1885","174.333","0.5699","2.6061","1.1769","0.3254","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","James Cook","BUF","rb","7","10","163.7","0","0","0","0","0","0","162.3114","753.2707","7.5114","28.0604","22.691","161.1757","1.0047","2.426","1.0952","0.3187","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Amon-Ra St. Brown","DET","wr","8","10","181.4","0","0","0","0","0","0","8.4477","52.6362","0.4727","85.0624","68.4419","740.6204","5.1768","0.8519","0.4574","0.3015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Bucky Irving","TB","rb","9","9","157.5","0","0","0","0","0","0","146.4227","631.584","4.0923","41.6112","36.3611","260.4035","1.4937","2.3723","1.0875","0.2927","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Tucker Kraft","GB","te","5","10","137.9","0","0","0","0","0","0","7.0618","41.3773","0.2932","58.1156","46.206","483.9248","6.2746","0.5936","0.3169","0.2033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Kyren Williams","LA","rb","8","10","150.5","0","0","0","0","0","0","160.4057","675.5696","5.1324","31.3827","25.0102","180.4279","1.7893","2.439","1.1032","0.2833","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Saquon Barkley","PHI","rb","9","9","146.4","0","0","0","0","0","0","146.932","675.7427","5.9007","28.0888","22.9664","160.386","0.9688","2.2348","1.0109","0.2906","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Javonte Williams","DAL","rb","10","9","144.5","0","0","0","0","0","0","137.1977","597.7971","5.0137","35.7859","30.0585","197.071","1.0555","2.1795","0.9951","0.289","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Lamar Jackson","BLT","qb","7","10","192.6","188.8878","264.6592","2071.3426","15.9581","5.1024","22.0201","66.3667","406.1335","2.2434","0","0","0","0","0","0","1.0434","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Derrick Henry","BLT","rb","7","10","142.3","0","0","0","0","0","0","164.5022","780.7602","7.501","12.5581","10.5048","74.7026","0.4629","2.3264","1.0359","0.2645","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Ashton Jeanty","LV","rb","8","10","139.9","0","0","0","0","0","0","159.7944","665.4116","4.1088","31.2067","26.2995","176.3683","1.0845","2.4446","1.1072","0.2479","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Jaylen Warren","PIT","rb","5","10","137.7","0","0","0","0","0","0","128.5872","572.4273","3.174","39.7586","33.7441","230.6149","1.0048","2.1028","0.9658","0.2597","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Rashee Rice","KC","wr","10","9","160.1","0","0","0","0","0","0","1.6316","9.1743","0.0928","84.9516","64.6621","636.8388","5.105","0.7238","0.397","0.2391","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","CeeDee Lamb","DAL","wr","10","9","158","0","0","0","0","0","0","4.5663","27.1125","0.2381","85.2356","59.981","691.1879","4.1824","0.7083","0.384","0.2413","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","D'Andre Swift","CHI","rb","5","10","134.5","0","0","0","0","0","0","136.3249","567.5284","3.7661","38.6189","31.6957","205.6997","0.7435","2.1854","0.9997","0.2249","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Justin Jefferson","MIN","wr","6","10","157.2","0","0","0","0","0","0","0","0","0","95.28","61.1756","732.4989","3.7255","0","0","0.2179","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Brock Bowers","LV","te","8","10","119.7","0","0","0","0","0","0","0","0","0","67.666","51.7393","498.0647","2.9792","0","0","0.1587","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Travis Etienne Jr.","JAX","rb","8","10","131.6","0","0","0","0","0","0","147.0267","649.1374","4.017","29.2125","24.0588","157.2875","0.732","2.2478","1.0179","0.2344","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Tyler Warren","IND","te","11","9","117.5","0","0","0","0","0","0","0","0","0","67.6332","49.3421","475.6421","3.3622","0","0","0.199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
