Draft-rankings-export-2025

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
1,"Bijan Robinson","ATL","RB",1,5,3.8,314.47,54
2,"Christian McCaffrey","SF","RB",2,14,7.7,282.45,44
3,"Jahmyr Gibbs","DET","RB",3,8,6.8,312.28,51
4,"Ja'Marr Chase","CIN","WR",1,10,4,333.25,59
5,"Puka Nacua","LAR","WR",2,8,9.6,289.68,40
6,"De'Von Achane","MIA","RB",4,12,17.6,270.2,36
7,"Saquon Barkley","PHI","RB",5,9,5.1,291.45,46
8,"Justin Jefferson","MIN","WR",3,6,6.3,299.2,49
9,"Jonathan Taylor","IND","RB",6,11,16.4,221.85,33
10,"Bucky Irving","TB","RB",7,9,28.5,273.45,37
11,"Amon-Ra St. Brown","DET","WR",4,8,11.7,265.71,43
12,"Malik Nabers","NYG","WR",5,14,11.6,266.4,44
13,"Nico Collins","HOU","WR",6,6,20.7,274.47,45
14,"Jaxon Smith-Njigba","SEA","WR",7,8,34.8,220.42,30
15,"James Cook","BUF","RB",8,7,26.5,218.81,23
16,"Trey McBride","ARI","TE",1,8,26.8,240.73,26
17,"Derrick Henry","BAL","RB",9,7,18.6,265.8,37
18,"Garrett Wilson","NYJ","WR",8,9,45.8,247.63,27
19,"Drake London","ATL","WR",9,5,29.7,258.37,44
20,"CeeDee Lamb","DAL","WR",10,10,13,273.77,51
21,"Josh Jacobs","GB","RB",10,5,25,251.32,32
22,"A.J. Brown","PHI","WR",11,9,21.6,255.81,32
23,"Lamar Jackson","BAL","QB",1,7,18,319.79,21
24,"Ashton Jeanty","LV","RB",11,8,17.9,277.76,41
25,"Brian Thomas Jr.","JAX","WR",12,8,26.3,272.1,45
26,"Josh Allen","BUF","QB",2,7,15.6,321.45,21
27,"Jayden Daniels","WAS","QB",3,12,37.8,341.5,16
28,"Rashee Rice","KC","WR",13,10,105,207.59,14
29,"Kyren Williams","LAR","RB",12,8,39.1,227.46,29
30,"Jalen Hurts","PHI","QB",4,9,26.2,316.82,14
31,"Brock Bowers","LV","TE",2,8,24.3,219.77,30
32,"Omarion Hampton","LAC","RB",13,12,51,221.39,27
33,"Chuba Hubbard","CAR","RB",14,14,57.3,201.83,19
34,"Davante Adams","LAR","WR",14,8,38.7,223.45,23
35,"Tetairoa McMillan","CAR","WR",15,14,73.8,215.83,23
36,"Kenneth Walker III","SEA","RB",15,8,62.2,221.44,22
37,"Emeka Egbuka","TB","WR",16,9,83.6,197.96,18
38,"George Kittle","SF","TE",3,14,52.7,221.66,18
39,"Zay Flowers","BAL","WR",17,7,61.1,202.83,14
40,"Marvin Harrison Jr.","ARI","WR",18,8,66.9,234.06,25
41,"Ladd McConkey","LAC","WR",19,12,40.7,241.37,37
42,"Javonte Williams","DAL","RB",16,10,100.1,134.6,5
43,"Rome Odunze","CHI","WR",20,5,78.9,196.03,11
44,"Jordan Mason","MIN","RB",17,6,123.8,180.09,9
45,"Jaylen Warren","PIT","RB",18,5,107.1,168.08,8
46,"Tyreek Hill","MIA","WR",21,12,35,219.33,24
47,"Chase Brown","CIN","RB",19,10,38,249.99,40
48,"Tee Higgins","CIN","WR",22,10,39.2,252.8,28
49,"Deebo Samuel","WAS","WR",23,12,118.3,193.49,11
50,"Chris Olave","NO","WR",24,11,116.7,204.98,10
51,"Tyler Warren","IND","TE",4,11,103.7,159.06,8
52,"Terry McLaurin","WAS","WR",25,12,55.4,232.47,19
53,"Travis Etienne Jr.","JAX","RB",20,8,121.9,112.51,7
54,"Ricky Pearsall","SF","WR",26,14,115.2,194.59,17
55,"Quinshon Judkins","CLE","RB",21,9,144.2,102.87,3
56,"DJ Moore","CHI","WR",27,5,84,204.97,20
57,"Patrick Mahomes","KC","QB",5,10,56.6,283.47,9
58,"Jameson Williams","DET","WR",28,8,97.7,205.66,19
59,"Mike Evans","TB","WR",29,9,76.8,221.59,22
60,"J.K. Dobbins","DEN","RB",22,12,116.3,133.99,7
61,"Travis Hunter","JAX","WR",30,8,96.6,222.74,12
62,"D.K. Metcalf","PIT","WR",31,5,56.1,204.06,21
63,"DeVonta Smith","PHI","WR",32,9,89.8,204.4,17
64,"Cam Skattebo","NYG","RB",23,14,110.7,132.4,4
65,"Jakobi Meyers","LV","WR",33,8,112.5,192.57,10
66,"Courtland Sutton","DEN","WR",34,12,84.8,199.52,22
67,"Trey Benson","ARI","RB",24,8,148.6,100.77,5
68,"George Pickens","DAL","WR",35,10,89.7,197,22
69,"Alvin Kamara","NO","RB",25,11,51.9,215.85,18
70,"Jaylen Waddle","MIA","WR",36,12,96.3,202.46,17
71,"D'Andre Swift","CHI","RB",26,5,85.7,202.91,13
72,"Breece Hall","NYJ","RB",27,9,77.3,163.79,22
73,"Michael Pittman Jr.","IND","WR",37,11,113.4,177.89,7
74,"Tony Pollard","TEN","RB",28,10,104.3,167.07,15
75,"Tucker Kraft","GB","TE",5,5,110.8,158.37,4
76,"TreVeyon Henderson","NE","RB",29,14,71.9,167.74,23
77,"Baker Mayfield","TB","QB",6,9,63.5,278.81,5
78,"Jacory Croskey-Merritt","WAS","RB",30,12,124,147.62,8
79,"Jordan Addison","MIN","WR",38,6,133.2,180.04,8
80,"T.J. Hockenson","MIN","TE",6,6,77.8,186.84,8
81,"Sam LaPorta","DET","TE",7,8,53.4,178.83,9
82,"Xavier Worthy","KC","WR",39,10,78.8,205.29,20
83,"RJ Harvey","DEN","RB",31,12,116.7,204.47,17
84,"Quentin Johnston","LAC","WR",40,12,149.9,136.12,1
85,"Caleb Williams","CHI","QB",7,5,118.6,253.33,3
86,"Chris Godwin","TB","WR",41,9,139.1,146.96,6
87,"Keon Coleman","BUF","WR",42,7,131.8,169.86,6
88,"David Montgomery","DET","RB",32,8,83.2,162.38,9
89,"Justin Herbert","LAC","QB",8,12,86.4,249.9,2
90,"Jauan Jennings","SF","WR",43,14,138.7,182.25,6
91,"Calvin Ridley","TEN","WR",44,10,98.8,196.35,21
92,"Keenan Allen","LAC","WR",45,12,118.2,139.95,3
93,"Zach Charbonnet","SEA","RB",33,8,152.3,147.59,10
