"RankRk.","PositionPos.","Name","Team"
"1","WR","Ja'Marr Chase","Bengals"
"2","RB","Christian McCaffrey","49ers"
"3","RB","Jonathan Taylor","Colts"
"4","RB","Bijan Robinson","Falcons"
"5","WR","Puka Nacua","Rams"
"6","RB","Jahmyr Gibbs","Lions"
"7","WR","Justin Jefferson","Vikings"
"8","WR","Amon-Ra St. Brown","Lions"
"9","RB","De'Von Achane","Dolphins"
"10","WR","Jaxon Smith-Njigba","Seahawks"
"11","WR","Rashee Rice","Chiefs"
"12","WR","CeeDee Lamb","Cowboys"
"13","RB","Josh Jacobs","Packers"
"14","RB","James Cook III","Bills"
"15","RB","Saquon Barkley","Eagles"
"16","RB","Ashton Jeanty","Raiders"
"17","RB","Derrick Henry","Ravens"
"18","WR","Drake London","Falcons"
"19","TE","Trey McBride","Cardinals"
"20","RB","Bucky Irving","Buccaneers"
"21","RB","Javonte Williams","Cowboys"
"22","QB","Lamar Jackson","Ravens"
"23","RB","Kyren Williams","Rams"
"24","WR","Garrett Wilson","Jets"
"25","QB","Jalen Hurts","Eagles"
"26","WR","Emeka Egbuka","Buccaneers"
"27","QB","Josh Allen","Bills"
"28","WR","Davante Adams","Rams"
"29","QB","Jayden Daniels","Commanders"
"30","WR","Nico Collins","Texans"
"31","WR","Rome Odunze","Bears"
"32","QB","Patrick Mahomes","Chiefs"
"33","WR","Ladd McConkey","Chargers"
"34","WR","A.J. Brown","Eagles"
"35","WR","Brian Thomas Jr.","Jaguars"
"36","RB","Chase Brown","Bengals"
"37","TE","Tyler Warren","Colts"
"38","RB","Omarion Hampton","Chargers"
"39","WR","Tetairoa McMillan","Panthers"
"40","TE","George Kittle","49ers"
"41","RB","D'Andre Swift","Bears"
"42","WR","D.K. Metcalf","Steelers"
"43","WR","George Pickens","Cowboys"
"44","WR","Jaylen Waddle","Dolphins"
"45","RB","Jaylen Warren","Steelers"
"46","RB","Quinshon Judkins","Browns"
"47","WR","Chris Olave","Saints"
"48","WR","Michael Pittman Jr.","Colts"
"49","TE","Brock Bowers","Raiders"
"50","WR","Courtland Sutton","Broncos"
"51","WR","Tee Higgins","Bengals"
"52","RB","Breece Hall","Jets"
"53","WR","DeVonta Smith","Eagles"
"54","TE","Tucker Kraft","Packers"
"55","WR","Marvin Harrison Jr.","Cardinals"
"56","WR","Jordan Addison","Vikings"
"57","RB","Travis Etienne Jr.","Jaguars"
"58","RB","Jordan Mason","Vikings"
"59","WR","Zay Flowers","Ravens"
"60","WR","Deebo Samuel","Commanders"
"61","RB","J.K. Dobbins","Broncos"
"62","QB","Drake Maye","Patriots"
"63","RB","Kenneth Walker III","Seahawks"
"64","WR","Terry McLaurin","Commanders"
"65","TE","Jake Ferguson","Cowboys"
"66","QB","Justin Herbert","Chargers"
"67","RB","Alvin Kamara","Saints"
"68","RB","Rico Dowdle","Panthers"
"69","RB","Chuba Hubbard","Panthers"
"70","RB","Jacory Croskey-Merritt","Commanders"
"71","WR","Quentin Johnston","Chargers"
"72","TE","Sam LaPorta","Lions"
"73","RB","Rhamondre Stevenson","Patriots"
"74","RB","Woody Marks","Texans"
"75","RB","Tyrone Tracy Jr.","Giants"
"76","RB","David Montgomery","Lions"
"77","QB","Jordan Love","Packers"
"78","WR","Travis Hunter","Jaguars"
"79","WR","Wan'Dale Robinson","Giants"
"80","WR","Stefon Diggs","Patriots"
"81","QB","Bo Nix","Broncos"
"82","WR","Keenan Allen","Chargers"
"83","WR","Xavier Worthy","Chiefs"
"84","WR","Ricky Pearsall","49ers"
"85","QB","Baker Mayfield","Buccaneers"
"86","WR","D.J. Moore","Bears"
"87","WR","Jameson Williams","Lions"
"88","RB","Zach Charbonnet","Seahawks"
"89","RB","R.J. Harvey","Broncos"
"90","QB","Caleb Williams","Bears"
"91","WR","Jakobi Meyers","Raiders"
"92","TE","Oronde Gadsden","Chargers"
"93","RB","Isiah Pacheco","Chiefs"
"94","RB","Trey Benson","Cardinals"
"95","RB","Aaron Jones Sr.","Vikings"
"96","RB","TreVeyon Henderson","Patriots"
"97","TE","Dallas Goedert","Eagles"
"98","RB","Rachaad White","Buccaneers"
"99","QB","Jared Goff","Lions"
"100","RB","Tony Pollard","Titans"
"101","QB","Jaxson Dart","Giants"
"102","RB","Kimani Vidal","Chargers"
"103","TE","Kyle Pitts Sr.","Falcons"
"104","WR","Chris Godwin Jr.","Buccaneers"
"105","WR","Khalil Shakir","Bills"
"106","QB","Daniel Jones","Colts"
"107","TE","Mark Andrews","Ravens"
"108","WR","Matthew Golden","Packers"
"109","RB","Tyjae Spears","Titans"
"110","TE","T.J. Hockenson","Vikings"
"111","WR","Romeo Doubs","Packers"
"112","TE","Harold Fannin Jr.","Browns"
"113","RB","Dylan Sampson","Browns"
"114","TE","Dalton Kincaid","Bills"
"115","RB","Nick Chubb","Texans"
"116","WR","Jauan Jennings","49ers"
"117","QB","Joe Flacco","Bengals"
"118","RB","Isaiah Davis","Jets"
"119","WR","Keon Coleman","Bills"
"120","WR","Troy Franklin","Broncos"
"121","QB","Brock Purdy","49ers"
"122","WR","Chimere Dike","Titans"
"123","TE","Travis Kelce","Chiefs"
"124","WR","Cooper Kupp","Seahawks"
"125","WR","Alec Pierce","Colts"
"126","WR","Rashid Shaheed","Saints"
"127","RB","Bam Knight","Cardinals"
"128","WR","Josh Downs","Colts"
"129","WR","Kayshon Boutte","Patriots"
"130","RB","Kyle Monangai","Bears"
"131","WR","Tre Tucker","Raiders"
"132","TE","Hunter Henry","Patriots"
"133","WR","Brandon Aiyuk","49ers"
"134","RB","Tyler Allgeier","Falcons"
"135","QB","Dak Prescott","Cowboys"
"136","WR","Jerry Jeudy","Browns"
"137","WR","Kendrick Bourne","49ers"
"138","WR","Calvin Ridley","Titans"
"139","QB","J.J. McCarthy","Vikings"
"140","WR","Elic Ayomanor","Titans"
"141","RB","Bhayshul Tuten","Jaguars"
"142","WR","Darnell Mooney","Falcons"
"143","RB","Kareem Hunt","Chiefs"
"144","RB","Samaje Perine","Bengals"
"145","QB","Matthew Stafford","Rams"
"146","QB","Kyler Murray","Cardinals"
"147","WR","Hollywood Brown","Chiefs"
"148","WR","Xavier Legette","Panthers"
"149","RB","Blake Corum","Rams"
"150","WR","Calvin Austin III","Steelers"
"151","TE","David Njoku","Browns"
"152","RB","Devin Neal","Saints"
"153","WR","Darius Slayton","Giants"
"154","WR","Jalen Coker","Panthers"
"155","WR","Christian Watson","Packers"
"156","RB","Tank Bigsby","Eagles"
"157","TE","Isaiah Likely","Ravens"
"158","RB","Ameer Abdullah","Colts"
"159","RB","Keaton Mitchell","Ravens"
"160","TE","A.J. Barner","Seahawks"
"161","WR","Isaiah Bond","Browns"
"162","RB","Kenneth Gainwell","Steelers"
"163","WR","Christian Kirk","Texans"
"164","RB","Brashard Smith","Chiefs"
"165","RB","Brian Robinson Jr.","49ers"
"166","WR","Tez Johnson","Buccaneers"
"167","TE","Darren Waller","Dolphins"
"168","RB","Ollie Gordon II","Dolphins"
"169","WR","Luther Burden III","Bears"
"170","RB","Jaydon Blue","Cowboys"
"171","WR","Malik Washington","Dolphins"
"172","RB","Sean Tucker","Buccaneers"
"173","WR","Marvin Mims Jr.","Broncos"
"174","WR","Jaylin Noel","Texans"
"175","RB","Emanuel Wilson","Packers"
"176","WR","Sterling Shepard","Buccaneers"
"177","RB","Hassan Haskins","Chargers"
"178","RB","Devin Singletary","Giants"
"179","RB","Chris Rodriguez Jr.","Commanders"
"180","WR","Jayden Higgins","Texans"
"181","RB","Raheem Mostert","Raiders"
"182","WR","Allen Lazard","Jets"
"183","WR","Parker Washington","Jaguars"
"184","RB","Tahj Brooks","Bengals"
"185","WR","Dyami Brown","Jaguars"
"186","WR","Pat Bryant","Broncos"
"187","RB","Will Shipley","Eagles"
"188","WR","Jack Bech","Raiders"
"189","RB","Ty Johnson","Bills"
"190","WR","Roman Wilson","Steelers"
"191","WR","Jayden Reed","Packers"
"192","WR","Xavier Hutchinson","Texans"
