"Offense","4","5","6","7","8","9","10","11","12","13","14","15","16","17","Season #G","Season SOS","Playoffs #G","Playoffs SOS","All #G","All SOS"
"ARZ","8.060377005122575","3.813956420958842","7.464115825347076","3.788878808539158","","1.8464009074140346","8.060377005122575","3.4361131576814286","3.272134887424665","3.7974686943099285","9.319509759148595","0.482016946102023","4.459811640578863","7.159782631491622","10","5.887525406977575","3","4.50652634479717","13","5.930695887264933"
"ATL","7.719079879151373","","3.468830943390669","3.4361131576814286","7.3429079694898665","3.2910552514941447","7.464115825347076","10","6.029788726694575","3.1349033356679334","10","3.7974686943099285","3.464558452103062","7.5118762161656765","10","10","3","5.646788287933628","13","10"
"BLT","3.5372641386050425","0.482016946102023","7.5118762161656765","","6.552950784993373","7.208345491409598","1.8260282634591993","0.2875239229228039","3.1349033356679334","7.159782631491622","4.927331818294605","7.159782631491622","3.6144377574183446","3.788878808539158","10","3.7068527337980743","3","5.556838554161057","13","4.078218072605566"
"BUF","6.029788726694575","3.6144377574183446","4.459811640578863","","10","3.209973347506412","7.3429079694898665","3.7974686943099285","0.482016946102023","3.9716152084790646","8.882689515566577","3.6144377574183446","0.2875239229228039","0","10","6.634056036612598","3","1.0077515814850284","13","4.512849899776675"
"CAR","3.6144377574183446","7.3429079694898665","2.239418200848886","3.1349033356679334","3.468830943390669","3.4743304791689544","6.029788726694575","4.459811640578863","3.4361131576814286","7.5118762161656765","","6.029788726694575","3.7974686943099285","8.060377005122575","10","4.804388061445711","3","6.975411372935085","13","6.343611458018392"
"CHI","7.175119438175328","","7.719079879151373","6.029788726694575","3.143784633430225","7.015946180587913","1.0582008814996289","1.8260282634591993","3.9716152084790646","0","4.7006223234114595","0.2875239229228039","3.788878808539158","3.4361131576814286","10","3.729146701791029","3","2.5483681516255086","13","3.0113590719004852"
"CIN","5.179320180949793","1.8885896460853113","3.788878808539158","3.9716152084790646","3.1349033356679334","6.3783826935950145","","3.9716152084790646","3.6144377574183446","3.143784633430225","4.303559177425745","3.143784633430225","7.3429079694898665","3.464558452103062","10","2.615080022785523","3","5.295764122891452","13","4.220368177570333"
"CLV","1.8885896460853113","1.8260282634591993","3.9716152084790646","7.3429079694898665","3.6144377574183446","","3.1349033356679334","3.143784633430225","7.175119438175328","3.4361131576814286","4.731734531194975","6.552950784993373","3.468830943390669","3.9716152084790646","10","2.8685882305051837","3","5.313747690003536","13","4.125166857573895"
"DAL","3.788878808539158","3.1349033356679334","10","7.719079879151373","5.179320180949793","3.1335856442606023","","7.175119438175328","0","3.5372641386050425","2.343053736673935","1.8260282634591993","1.5072284531460705","7.719079879151373","10","5.0977644025814755","3","4.058802871768901","13","4.081401470523128"
"DEN","7.159782631491622","0","3.1349033356679334","1.0582008814996289","2.239418200848886","0","7.175119438175328","3.5372641386050425","","7.719079879151373","8.901716921696538","3.788878808539158","3.272134887424665","3.5372641386050425","10","1.7677061685022828","3","3.8650568674579966","13","2.2934424673015137"
"DET","0.2875239229228039","7.159782631491622","3.5372641386050425","3.7974686943099285","","1.4120757620037496","7.719079879151373","0","1.0582008814996289","3.788878808539158","2.778304537648398","7.5118762161656765","3.9716152084790646","1.8260282634591993","10","0.16443481808374014","3","5.021938576928352","13","2.2147345780268575"
"GB","2.239418200848886","","7.159782631491622","3.464558452103062","3.9716152084790646","10","0","1.0582008814996289","1.8260282634591993","1.8885896460853113","8.129831620566637","5.179320180949793","6.552950784993373","3.143784633430225","10","2.464246705650059","3","5.69037645185018","13","3.2735769741174576"
"HST","3.813956420958842","3.143784633430225","","8.060377005122575","3.4361131576814286","4.9351876424323375","3.272134887424665","3.813956420958842","3.468830943390669","7.464115825347076","4.388459914910953","3.464558452103062","7.175119438175328","1.5072284531460705","10","5.126907932763438","3","4.525853688045368","13","5.351214916594839"
"IND","7.5118762161656765","7.175119438175328","3.464558452103062","1.5072284531460705","3.813956420958842","3.666321155034961","4.459811640578863","","3.5372641386050425","0.482016946102023","4.0595308201404725","8.060377005122575","3.4361131576814286","3.272134887424665","10","2.816823611382313","3","5.644536042156803","13","4.515640624929468"
"JAX","3.4361131576814286","3.5372641386050425","8.060377005122575","7.5118762161656765","","7.032059685515225","0.482016946102023","1.5072284531460705","3.464558452103062","3.813956420958842","9.260256462698258","3.1349033356679334","5.179320180949793","7.464115825347076","10","5.290308603217212","3","6.075379197804197","13","5.718431961742497"
"KC","3.143784633430225","3.272134887424665","1.8885896460853113","7.175119438175328","7.719079879151373","3.138074506305653","","5.179320180949793","7.464115825347076","2.239418200848886","0.5980079415586752","1.5072284531460705","3.813956420958842","5.179320180949793","10","3.783725998405918","3","3.823337409580594","13","3.5301903715421656"
"LA","7.464115825347076","3.4361131576814286","3.143784633430225","3.272134887424665","","5.828726263933122","3.4361131576814286","8.060377005122575","3.7974686943099285","10","4.298258567683927","1.8885896460853113","8.060377005122575","4.459811640578863","10","7.888630907672444","3","5.490990119091746","13","7.268542733780295"
"LAC","1.0582008814996289","7.719079879151373","7.3429079694898665","7.464115825347076","1.8260282634591993","3.5006780911343007","3.9716152084790646","3.272134887424665","","7.175119438175328","0","3.5372641386050425","2.239418200848886","0.482016946102023","10","4.332732087254253","3","2.0133670067334424","13","3.149307741148562"
