"Offense","4","5","6","7","8","9","10","11","12","13","14","15","16","17","Season #G","Season SOS","Playoffs #G","Playoffs SOS","All #G","All SOS"
"ARZ","5.72508002070355","6.831129966373642","6.454274584552911","2.9119110323044954","","10","5.753107183728585","6.794563543620045","5.216824635259685","6.0849963253965464","3.5153402905273863","5.657668989688829","7.73716584079008","8.01747765123068","10","4.226157422964879","3","7.50217805457909","13","6.339337288291116"
"ATL","3.4650685562688075","","8.470860238221729","6.794563543620045","8.420854825559411","4.1838024244307","6.485871523868245","8.86915725879029","6.120502481596715","5.5308180556692665","5.72508002070355","6.0849963253965464","7.309868500845489","3.5153402905273863","10","7.0510682946820955","3","4.868391688438467","13","6.85245347662738"
"BLT","6.912699242523512","5.657668989688829","3.5153402905273863","","8.762108415548566","7.772114343319247","4.360895612307288","0","5.5308180556692665","8.01747765123068","4.778893191744401","8.01747765123068","5.877427413066991","2.9119110323044954","10","2.6220720844755196","3","4.807907881711486","13","2.4122140506148697"
"BUF","6.120502481596715","5.877427413066991","7.73716584079008","","8.86915725879029","5.644382044938922","8.462079170049376","6.0849963253965464","5.657668989688829","4.778893191744401","8.01747765123068","5.877427413066991","0","2.710909856824046","10","8.293977435631906","3","0","13","4.895255791763043"
"CAR","5.877427413066991","8.420854825559411","10","5.5308180556692665","8.470860238221729","0","6.150465437612439","7.73716584079008","6.794563543620045","3.5153402905273863","","6.120502481596715","6.0849963253965464","5.72508002070355","10","6.89315675973373","3","5.46532244782843","13","7.201129425804112"
"CHI","8.54207142053465","","3.4650685562688075","6.120502481596715","9.951283433230126","7.2030227642389715","5.737301494697631","4.3396508260799465","4.778893191744401","2.710909856824046","2.9119110323044954","0","2.9119110323044954","6.794563543620045","10","2.8986762301079843","3","0.6541236255353916","13","1.8808026478996798"
"CIN","6.150809535619644","6.174806522538031","2.9119110323044954","4.778893191744401","5.5308180556692665","8.25356088207524","","4.778893191744401","5.877427413066991","9.951283433230126","8.470860238221729","9.951283433230126","8.420854825559411","7.309868500845489","10","6.77628273545386","3","10","13","8.702683458055539"
"CLV","6.174806522538031","4.3396508260799465","4.778893191744401","8.420854825559411","5.877427413066991","","5.557894208098137","9.951283433230126","8.54207142053465","6.794563543620045","6.831129966373642","8.762108415548566","8.470860238221729","4.778893191744401","10","7.735284426103981","3","7.852921564721738","13","10"
"DAL","2.9119110323044954","5.5308180556692665","8.86915725879029","3.4650685562688075","6.150809535619644","6.204715387440834","","8.54207142053465","2.710909856824046","6.912699242523512","6.174806522538031","4.3396508260799465","5.657702824316605","3.4650685562688075","10","3.817210334139866","3","2.851397670756837","13","3.8916203113244445"
"DEN","8.01747765123068","2.710909856824046","5.5308180556692665","5.709351331563097","10","3.8737633936288467","8.583889181580618","6.912699242523512","","3.4650685562688075","8.54207142053465","2.9119110323044954","5.216824635259685","6.912699242523512","10","5.739683140097896","3","3.7751388863979396","13","4.651894474600108"
"DET","0","8.01747765123068","6.912699242523512","6.0849963253965464","","2.0142802951295917","3.4820318198333817","2.710909856824046","5.709351331563097","2.9119110323044954","10","3.5153402905273863","4.778893191744401","4.3396508260799465","10","0.0064677135332753865","3","2.3666931438495284","13","0"
"GB","10","","8.01747765123068","7.309868500845489","4.778893191744401","8.404587264122092","2.724181132025199","5.709351331563097","4.3396508260799465","6.174806522538031","8.762108415548566","6.150809535619644","8.762108415548566","9.951283433230126","10","7.4778255185261955","3","9.521574126768181","13","9.346803345100707"
"HST","6.831129966373642","9.951283433230126","","5.72508002070355","6.794563543620045","4.5694947087665945","5.242363631046066","6.831129966373642","8.470860238221729","6.454274584552911","6.912699242523512","7.309868500845489","8.54207142053465","5.657702824316605","10","8.735363356268094","3","7.559117416864966","13","9.824305775499605"
"IND","3.5153402905273863","8.54207142053465","7.309868500845489","5.657702824316605","6.831129966373642","2.6339711140038116","7.775043181820662","","6.912699242523512","5.657668989688829","5.216824635259685","5.72508002070355","6.794563543620045","5.216824635259685","10","5.436853499937891","3","5.351765421216913","13","6.236593062259531"
