"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Isaac TeSlaa","DET","7","WR","6","3","0","54","0","2","0","0","50","18.17","9","18","0.67","5","3","2","83.3","100","100","3","2","50","66.7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.4","0.2","6.8"
"Kameron Johnson","TB","7","WR","5","4","0","64","0","1","0","0","80","12.6","12.8","16","4.75","1","1","1","20","25","100","0","0","0","0","0","1","0","2","0","0","0","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","16.6","0.27","3.32"
"Tetairoa McMillan","CAR","7","WR","52","30","1","413","1","2","0","3","57.7","12.06","7.94","13.77","4.27","17","9","2","32.7","30","100","5","2","9.6","6.7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","83.3","0.19","2.78"
"Jayden Higgins","HST","6","WR","13","9","0","121","0","1","0","0","69.2","11.54","9.31","13.44","3.78","5","3","1","38.5","33.3","100","2","1","15.4","11.1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.1","0.14","3.01"
"Gage Larvadain","CLV","3","WR","4","2","0","22","0","0","0","1","50","6","5.5","11","3","1","1","0","25","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.2","0.13","2.1"
"Brian Thomas Jr.","JAX","7","WR","54","27","1","365","0","1","0","6","50","12.67","6.76","13.52","3.44","12","3","1","22.2","11.1","100","3","0","5.6","0","0","2","0","16","0","1","0","8","1","0","0","0","1","1","50","100","0","0","0","0","0","0","77.1","0.19","2.66"
"Ja'Corey Brooks","WAS","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Emeka Egbuka","TB","7","WR","53","31","2","527","2","5","1","3","58.5","14.32","9.94","17","5.52","14","6","4","26.4","19.4","80","5","2","9.4","6.5","40","2","0","9","0","0","0","4.5","0.5","0","0","0","0","0","0","0","0","0","0","0","1","1","114.6","0.31","3.47"
"Keon Coleman","BUF","6","WR","36","24","0","237","1","2","0","2","66.7","11.81","6.58","9.88","1.38","6","3","2","16.7","12.5","100","5","2","13.9","8.3","100","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","59.7","0.2","2.49"
"Tai Felton","MIN","1","WR","1","1","0","9","0","0","0","0","100","7","9","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9","0.16","1.9"
"KeAndre Lambert-Smith","LAC","5","WR","3","1","0","1","0","0","0","0","33.3","16","0.33","1","3","1","0","0","33.3","0","0","1","0","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1","0.02","1.1"
"Jaxon Smith-Njigba","SEA","7","WR","67","50","5","819","5","4","1","2","74.6","13.03","12.22","16.38","3.7","10","7","4","14.9","14","100","2","2","3","4","50","3","0","11","0","0","0","3.67","2","0","0","2","0","0","0","0","0","0","0","0","0","0","157","0.48","2.96"
"Kyle Williams","NE","7","WR","5","2","0","20","0","0","0","0","40","12.8","4","10","0.5","0","0","0","0","0","0","0","0","0","0","0","1","0","-2","0","0","0","-2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8","0.05","1.27"
"Kayshon Boutte","NE","7","WR","25","20","0","356","1","4","0","0","80","17.16","14.24","17.8","1.05","7","5","4","28","25","100","5","3","20","15","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79.6","0.25","3.98"
"Arian Smith","NYJ","7","WR","9","5","0","24","0","0","0","0","55.6","15","2.67","4.8","3.2","2","0","0","22.2","0","0","1","0","11.1","0","0","1","0","-10","0","0","0","-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.4","0.03","1.07"
"Quentin Johnston","LAC","6","WR","44","28","1","407","0","5","1","2","63.6","12.52","9.25","14.54","4.79","12","8","5","27.3","28.6","100","5","2","11.4","7.1","40","2","0","7","0","0","0","3.5","0.5","0","0","1","0","0","0","0","0","0","0","0","0","0","99.4","0.28","3.31"
"Jalen Brooks","DAL","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
