"player","team","games","dropbacks","att","comp","drops","comDrop","yds","passYds300Games","depthAim","tds","td40s","td50s","ints","sks","ezAtt","ezTds","ezInts","ezPct","ezTdPct","rushCarries","rushYds","rushTds","rushTd40s","fumbles","rzRushCarries","rzRushTds","rzRushPct","i5RushCarries","i5RushTds","i5RushPct","patConversions","patAttempts","fantasyPts","ptsPerDb"
"Patrick Mahomes","KC","8","334","282","189","10","76.5","2099","1","7.9","17","1","0","4","14","18","10","1","6.4","3.5","46","280","4","0","3","10","4","21.7","2","1","4.3","0","1","196","0.59"
"Jalen Hurts","PHI","8","266","215","151","4","77.9","1677","1","9.1","15","3","1","1","25","8","3","0","3.7","1.4","58","207","5","0","3","19","5","32.8","9","4","15.5","0","1","175.8","0.66"
"Drake Maye","NE","8","288","226","170","7","83.5","2026","0","8.4","15","1","1","3","28","15","9","1","6.6","4","51","250","2","0","5","9","2","17.6","1","1","2","1","1","172","0.6"
"Daniel Jones","IND","8","265","243","173","10","78.9","2062","1","8.9","13","0","0","3","9","10","5","0","4.1","2.1","30","86","4","0","2","11","4","36.7","5","4","16.7","1","5","161.1","0.61"
"Justin Herbert","LAC","8","339","296","201","12","76.6","2140","3","8","16","1","1","7","22","24","11","2","8.1","3.7","37","248","0","0","2","7","0","18.9","0","0","0","1","1","160.4","0.47"
"Josh Allen","BUF","7","239","197","134","9","76.1","1560","1","8.2","12","2","1","4","14","12","5","1","6.1","2.5","49","261","5","0","4","14","5","28.6","9","5","18.4","0","3","158.5","0.66"
"Bo Nix","DEN","8","314","285","179","19","77.3","1803","1","8.2","15","1","1","5","8","18","8","1","6.3","2.8","39","171","3","0","2","6","3","15.4","1","0","2.6","3","4","157.2","0.5"
"Dak Prescott","DAL","8","313","290","204","13","79.2","2069","2","7.6","16","2","1","5","10","27","9","1","9.3","3.1","25","87","1","0","3","4","1","16","2","1","8","1","1","151.5","0.48"
"Baker Mayfield","TB","8","306","269","172","11","71.8","1919","1","8.9","13","3","2","2","17","17","6","1","6.3","2.2","22","158","0","0","6","3","0","13.6","0","0","0","1","3","140.6","0.46"
"Matthew Stafford","LA","7","256","242","160","11","73.7","1866","2","9.5","17","2","1","2","11","21","10","0","8.7","4.1","17","-2","0","0","5","4","0","23.5","3","0","17.6","0","0","138.4","0.54"
"Jordan Love","GB","7","239","213","151","7","81.4","1798","2","7.8","13","0","0","2","10","12","8","0","5.6","3.8","25","109","0","0","3","3","0","12","0","0","0","1","1","130.8","0.55"
"Jared Goff","DET","7","221","203","152","5","84","1631","1","6.8","15","1","0","3","13","7","6","0","3.4","3","11","23","0","0","3","3","0","27.3","0","0","0","0","0","121.5","0.55"
"Caleb Williams","CHI","7","251","223","138","7","70.4","1636","0","8.6","9","2","2","4","12","12","4","1","5.4","1.8","35","130","2","0","4","15","2","42.9","2","1","5.7","0","2","118.4","0.47"
"C.J. Stroud","HST","7","265","232","155","3","71.5","1623","1","8","11","1","1","5","15","15","6","0","6.5","2.6","27","177","0","0","0","1","0","3.7","0","0","0","0","3","116.6","0.44"
"Aaron Rodgers","PIT","7","226","208","142","8","77.7","1489","0","6.7","16","2","2","5","12","16","11","1","7.7","5.3","11","18","0","0","1","0","0","0","0","0","0","1","3","115.4","0.51"
"Sam Darnold","SEA","7","208","192","131","4","79.4","1754","1","10.3","12","1","1","4","9","10","7","0","5.2","3.6","10","41","0","0","3","4","0","40","2","0","20","0","0","114.3","0.55"
"Trevor Lawrence","JAX","7","297","259","152","21","71.5","1620","0","8.7","9","0","0","5","20","14","4","1","5.4","1.5","30","113","2","0","2","6","2","20","3","1","10","0","1","114.1","0.38"
"Justin Fields","NYJ","7","212","167","107","6","76.9","1089","0","7.1","5","0","0","0","22","5","3","0","3","1.8","53","288","3","1","4","9","2","17","2","2","3.8","5","6","110.4","0.52"
"Jaxson Dart","NYG","7","175","142","85","8","71.5","984","0","10","8","2","0","3","17","8","2","0","5.6","1.4","43","195","4","0","2","12","4","27.9","4","2","9.3","0","1","108.9","0.62"
"Tua Tagovailoa","MIA","8","263","231","159","10","77.2","1518","1","6.9","15","2","0","10","16","12","8","0","5.2","3.5","11","38","0","0","6","2","0","18.2","0","0","0","1","1","104.5","0.4"
"Spencer Rattler","NO","8","291","256","174","9","75.6","1586","0","8.3","8","1","1","5","18","17","6","0","6.6","2.3","31","167","0","0","4","4","0","12.9","0","0","0","0","1","102.1","0.35"
"Bryce Young","CAR","7","248","224","138","10","77.1","1288","1","7.4","11","0","0","5","11","15","7","0","6.7","3.1","18","69","1","0","4","5","1","27.8","2","1","11.1","0","1","98.4","0.4"
"Jayden Daniels","WAS","5","184","146","89","12","75.9","1031","0","8.7","8","0","0","1","13","8","4","1","5.5","2.7","44","211","1","0","3","4","1","9.1","1","1","2.3","1","2","98.3","0.53"
"Joe Flacco","CIN","7","302","286","174","18","75","1599","1","7","9","1","0","6","13","7","5","0","2.4","1.7","13","30","1","0","2","7","1","53.8","3","1","23.1","1","1","97","0.32"
"Lamar Jackson","BLT","4","119","95","68","1","77.5","869","0","9.6","10","0","0","1","15","10","6","0","10.5","6.3","21","166","1","0","2","4","1","19","1","0","4.8","0","2","95.4","0.8"
"Mac Jones","SF","6","248","226","149","12","78.2","1597","2","7.9","8","1","0","5","15","8","6","0","3.5","2.7","23","57","0","0","3","1","0","4.3","0","0","0","1","1","91.6","0.37"
"Michael Penix Jr.","ATL","6","215","195","119","6","71","1409","1","8.3","5","1","1","3","9","7","1","0","3.6","0.5","17","43","1","0","2","2","1","11.8","2","1","11.8","0","0","80.7","0.38"
"Kyler Murray","ARZ","5","195","161","110","6","78.4","962","0","6.4","6","0","0","3","16","8","4","1","5","2.5","29","173","1","0","1","4","1","13.8","1","0","3.4","0","0","79.8","0.41"
"Cam Ward","TEN","8","319","274","158","11","68.4","1615","0","8.3","5","0","0","6","34","14","4","2","5.1","1.5","16","40","0","0","5","4","0","25","2","0","12.5","0","0","76.6","0.24"
"Geno Smith","LV","7","229","202","133","5","72.6","1417","1","7.7","7","1","1","10","19","13","2","2","6.4","1","22","72","0","0","1","2","0","9.1","0","0","0","1","1","71.9","0.31"
"Carson Wentz","MIN","5","199","169","110","4","72.6","1216","2","8.4","6","0","0","5","19","12","3","0","7.1","1.8","11","57","0","0","3","2","0","18.2","0","0","0","1","1","68.3","0.34"
"Marcus Mariota","WAS","4","101","88","56","4","75","639","0","9","4","1","0","4","7","6","3","0","6.8","3.4","18","122","1","0","2","4","1","22.2","2","1","11.1","1","1","51.8","0.51"
"Jake Browning","CIN","4","137","124","80","1","69.8","757","0","8","6","2","1","8","9","6","3","0","4.8","2.4","9","39","1","0","1","2","1","22.2","1","1","11.1","0","0","48.2","0.35"
"Dillon Gabriel","CLV","6","159","142","85","7","71.3","702","0","6.4","5","0","0","2","11","10","3","0","7","2.1","7","30","0","0","0","1","0","14.3","0","0","0","0","1","47.1","0.3"
"Russell Wilson","NYG","5","130","112","66","4","74.5","786","1","10.1","3","1","0","3","8","8","3","1","7.1","2.7","16","94","0","0","3","6","0","37.5","0","0","0","0","0","46.8","0.36"
"Jacoby Brissett","ARZ","4","94","81","52","3","78.6","599","1","9.6","4","0","0","1","8","6","2","0","7.4","2.5","10","47","0","0","1","1","0","10","0","0","0","0","0","42.7","0.45"
"Brock Purdy","SF","2","80","73","48","4","77.6","586","1","7.7","4","0","0","4","2","4","1","0","5.5","1.4","7","30","0","0","1","2","0","28.6","0","0","0","1","1","34.4","0.43"
"Tyrod Taylor","NYJ","3","91","69","43","6","80.3","379","0","9.1","3","0","0","3","9","5","2","1","7.2","2.9","14","80","0","0","1","0","0","0","0","0","0","0","0","29.2","0.32"
"J.J. McCarthy","MIN","2","55","41","24","3","71.1","301","0","10.3","2","0","0","3","9","2","1","0","4.9","2.4","7","50","1","0","3","1","1","14.3","0","0","0","1","3","25","0.45"
"Tyler Huntley","BLT","2","46","37","27","1","82.4","254","0","7.6","1","0","0","0","6","0","0","0","0","0","11","92","0","0","0","5","0","45.5","0","0","0","0","0","23.4","0.51"
"Joe Burrow","CIN","2","44","36","21","2","67.6","189","0","8.3","2","0","0","0","5","4","2","0","11.1","5.6","2","3","0","0","0","0","0","0","0","0","0","0","0","15.9","0.36"
"Andy Dalton","CAR","4","48","37","25","0","71.4","293","0","9.5","1","0","0","1","8","2","1","0","5.4","2.7","4","-2","0","0","2","0","0","0","0","0","0","0","0","13.5","0.28"
"Kirk Cousins","ATL","2","39","38","26","4","81.1","202","0","7.4","0","0","0","0","1","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","8.3","0.21"
"Joe Milton III","DAL","2","9","9","6","0","75","99","0","15.4","1","0","0","1","0","3","1","1","33.3","11.1","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0.67"
"Tyler Shough","NO","2","37","32","17","2","61.3","128","0","9.3","0","0","0","1","2","2","0","0","6.3","0","3","12","0","0","0","0","0","0","0","0","0","0","0","4.3","0.12"
"Cooper Rush","BLT","4","53","52","34","2","73.5","303","0","6.5","0","0","0","4","1","0","0","0","0","0","4","-4","0","0","1","0","0","0","0","0","0","0","0","3.7","0.07"
"Trey Lance","LAC","1","6","4","3","0","100","44","0","5.3","0","0","0","0","1","0","0","0","0","0","1","11","0","0","0","0","0","0","0","0","0","0","0","2.9","0.48"
"Quinn Ewers","MIA","1","10","8","5","0","62.5","53","0","9.3","0","0","0","0","2","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","2.1","0.21"
"Mitch Trubisky","BUF","2","6","6","3","1","66.7","54","0","9.2","0","0","0","0","0","0","0","0","0","0","3","-3","0","0","0","0","0","0","0","0","0","0","0","1.9","0.32"
"Tyson Bagent","CHI","1","4","3","2","0","66.7","27","0","12","0","0","0","0","0","0","0","0","0","0","2","7","0","0","1","0","0","0","0","0","0","0","0","1.8","0.45"
