"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Isaac TeSlaa","DET","7","WR","6","3","0","54","0","2","0","0","50","18.17","9","18","0.67","5","3","2","83.3","100","100","3","2","50","66.7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.4","0.2","6.8"
"Kameron Johnson","TB","8","WR","5","4","0","64","0","1","0","0","80","12.6","12.8","16","4.75","1","1","1","20","25","100","0","0","0","0","0","1","0","2","0","0","0","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","16.6","0.24","3.32"
"Tetairoa McMillan","CAR","8","WR","62","37","1","512","1","2","0","3","59.7","11.92","8.26","13.84","4.03","19","10","2","30.6","27","100","6","2","9.7","5.4","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","100.2","0.21","2.71"
"Jayden Higgins","HST","7","WR","20","13","0","155","0","2","0","0","65","11.6","7.75","11.92","3.08","8","4","2","40","30.8","100","3","2","15","15.4","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.5","0.16","3.12"
"Gage Larvadain","CLV","4","WR","4","2","0","22","0","0","0","1","50","6","5.5","11","3","1","1","0","25","50","0","0","0","0","0","0","1","0","3","0","0","0","3","16","2","2","0","0","0","0","0","0","0","0","0","0","0","4.5","0.07","1.5"
"Brian Thomas Jr.","JAX","7","WR","54","27","1","365","0","1","0","6","50","12.67","6.76","13.52","3.44","12","3","1","22.2","11.1","100","3","0","5.6","0","0","2","0","16","0","1","0","8","1","0","0","0","1","1","50","100","0","0","0","0","0","0","77.1","0.19","2.66"
"Ja'Corey Brooks","WAS","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Emeka Egbuka","TB","8","WR","61","34","2","562","2","5","1","4","55.7","13.93","9.21","16.53","5.26","16","6","4","26.2","17.6","80","7","2","11.5","5.9","40","2","0","9","0","0","0","4.5","0.5","0","0","0","0","0","0","0","0","0","0","0","1","1","121.1","0.29","3.36"
"Keon Coleman","BUF","7","WR","40","27","0","267","1","2","0","2","67.5","11.25","6.67","9.89","1.59","6","3","2","15","11.1","100","5","2","12.5","7.4","100","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","65.7","0.19","2.43"
"Tai Felton","MIN","2","WR","1","1","0","9","0","0","0","0","100","7","9","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9","0.11","1.9"
"KeAndre Lambert-Smith","LAC","5","WR","3","1","0","1","0","0","0","0","33.3","16","0.33","1","3","1","0","0","33.3","0","0","1","0","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1","0.02","1.1"
"Jaxon Smith-Njigba","SEA","7","WR","67","50","5","819","5","4","1","2","74.6","13.03","12.22","16.38","3.7","10","7","4","14.9","14","100","2","2","3","4","50","3","0","11","0","0","0","3.67","2","0","0","2","0","0","0","0","0","0","0","0","0","0","157","0.48","2.96"
"Kyle Williams","NE","8","WR","5","2","0","20","0","0","0","0","40","12.8","4","10","0.5","0","0","0","0","0","0","0","0","0","0","0","1","0","-2","0","0","0","-2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8","0.04","1.27"
"Kayshon Boutte","NE","8","WR","30","23","0","431","1","5","0","1","76.7","17.7","14.37","18.74","0.96","8","6","5","26.7","26.1","100","6","4","20","17.4","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.1","0.26","4.18"
"Arian Smith","NYJ","8","WR","10","6","0","47","0","0","0","0","60","15.6","4.7","7.83","3","2","0","0","20","0","0","1","0","10","0","0","1","0","-10","0","0","0","-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.7","0.04","1.39"
"Quentin Johnston","LAC","7","WR","44","28","1","407","0","5","1","2","63.6","12.52","9.25","14.54","4.79","12","8","5","27.3","28.6","100","5","2","11.4","7.1","40","2","0","7","0","0","0","3.5","0.5","0","0","1","0","0","0","0","0","0","0","0","0","0","99.4","0.25","3.31"
"Jalen Brooks","DAL","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Mason Tipton","NO","6","WR","2","0","0","0","0","0","0","0","0","19","0","0","0","1","0","0","50","0","0","1","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
