"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Bijan Robinson","ATL","rb","5","12","263.6","0","0","0","0","0","0","204.338","942.2601","7.3374","82.7538","65.5484","482.1457","2.3308","3.4702","1.6057","0.4088","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Christian McCaffrey","SF","rb","14","11","244.6","0","0","0","0","0","0","201.8675","863.3992","6.0086","74.7784","60.3052","476.7105","2.7444","3.3802","1.5598","0.4313","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Jahmyr Gibbs","DET","rb","8","11","221.7","0","0","0","0","0","0","147.2442","689.326","6.8948","70.558","58.0331","403.7949","2.4359","2.617","1.2213","0.4208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Puka Nacua","LA","wr","8","11","233.4","0","0","0","0","0","0","6.8105","40.2069","0.3559","123.7083","91.9385","1058.7207","4.9808","1.0832","0.5875","0.3386","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Josh Jacobs","GB","rb","5","12","206","0","0","0","0","0","0","233.6972","1012.8661","10.1363","30.1159","24.8736","173.7397","0.6567","3.4288","1.5384","0.3923","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Trey McBride","ARZ","te","8","11","179.6","0","0","0","0","0","0","0","0","0","104.2702","79.127","736.3382","4.3833","0","0","0.2578","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Saquon Barkley","PHI","rb","9","11","195.1","0","0","0","0","0","0","185.0032","835.6101","7.2089","44.4654","36.1583","253.1162","1.4475","2.8918","1.3159","0.3686","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","George Kittle","SF","te","14","11","175.5","0","0","0","0","0","0","0","0","0","84.0752","62.1185","788.0499","5.6947","0","0","0.2268","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Bucky Irving","TB","rb","9","11","191.6","0","0","0","0","0","0","179.8269","780.533","4.8778","50.8732","45.2956","305.7075","1.733","2.9203","1.3394","0.3548","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","De'Von Achane","MIA","rb","12","11","189.4","0","0","0","0","0","0","122.6902","553.6606","4.4225","63.8548","52.6329","386.7911","2.9236","2.2267","1.0431","0.3478","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Rashee Rice","KC","wr","10","11","214.1","0","0","0","0","0","0","1.9279","11.0183","0.0944","120.7594","90.7056","871.7834","5.8378","1.0039","0.5511","0.3212","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Jonathan Taylor","IND","rb","11","11","183.5","0","0","0","0","0","0","181.933","837.5469","7.0889","39.6847","32.5596","209.9848","0.9327","2.8115","1.2762","0.3162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Jake Ferguson","DAL","te","10","11","162.4","0","0","0","0","0","0","0","0","0","88.1786","72.0355","615.9439","4.7204","0","0","0.2318","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","James Cook","BUF","rb","7","11","172.5","0","0","0","0","0","0","170.6957","778.948","7.6127","31.7277","25.7634","181.6885","1.1156","2.5863","1.1689","0.3409","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Ja'Marr Chase","CIN","wr","10","11","196.7","0","0","0","0","0","0","1.5226","8.3337","0.055","107.0659","76.0137","846.701","5.8755","0.8446","0.4639","0.2465","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Justin Jefferson","MIN","wr","6","12","191.7","0","0","0","0","0","0","0","0","0","115.6374","75.2036","886.0605","4.555","0","0","0.2608","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","CeeDee Lamb","DAL","wr","10","11","190.8","0","0","0","0","0","0","5.5434","33.1557","0.2832","104.1385","73.0804","831.1608","4.9922","0.8628","0.4678","0.2812","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Nico Collins","HST","wr","6","12","188.4","0","0","0","0","0","0","0","0","0","102.5663","67.3665","882.0511","5.3989","0","0","0.2402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Drake London","ATL","wr","5","12","188.3","0","0","0","0","0","0","0","0","0","112.1315","72.7604","845.9252","5.0701","0","0","0.2824","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Breece Hall","NYJ","rb","9","11","160.3","0","0","0","0","0","0","159.7951","693.9693","4.0618","43.4277","34.4457","255.2662","1.3908","2.5325","1.1557","0.2667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Jayden Daniels","WAS","qb","12","11","215","236.3971","334.6597","2413.6029","16.1724","5.7639","27.9803","90.5284","498.1118","2.2239","0","0","0","0","0","0","1.0477","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Ashton Jeanty","LV","rb","8","11","158.7","0","0","0","0","0","0","182.282","758.4798","4.744","35.1561","29.5272","197.0051","1.1905","2.7836","1.2602","0.2795","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Chuba Hubbard","CAR","rb","14","11","157","0","0","0","0","0","0","180.2921","777.3106","4.5275","35.6283","29.3813","179.7966","1.1133","2.7551","1.2475","0.2668","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
